Name,HP,Pack size,Damage,Size,Rarity,Frame,Weapon
Springo,2,6,1,Small,Common,"Refined Pounce: Move one, then deal 1/2/4/6/9 Harm and knock over one close enemy",Bulky Lance: Deal 1/2/4/6/9 damage to all enemies near in a line
Spearhead,7,1,1,Small,Common,"Sleek Pounce: Move one, then deal 1/2/4/6/9 Harm and knock over one close enemy",Scrap Lance: Deal 1/2/4/6/9 damage to all enemies near in a line
Craftsman,3,5,1,Small,Common,Bulky Shell: Curl into a ball. You can move but not act while in ball form. If you take any damage while in ball form you come out of ball form instead,Energy Jaws: Grab on to one close enemy. They cannot move until you do
Aplove,2,6,1,Small,Common,"Bulky Pounce: Move one, then deal 1/2/4/6/9 Harm and knock over one close enemy",Energy Wings: Make an attack against a Near enemy as though it is close
Kookarang,2,6,1,Small,Common,"Scrap Swoop: If you dont attack, you counts as being one range further away",Sleek Horn/s: Move to Close to an enemy and deal 1/2/4/6/9 damage
Bumbledog,3,5,1,Small,Common,Scrap Pack Tactics: You roll 1 extra dice if the enemy is close to an ally,Sleek Bombs: Deal 1/1/2/4/6 damage to all enemies in one row
Pandat,6,2,1,Small,Common,"Scrap Swoop: If you dont attack, you counts as being one range further away",Bulky Tail: Knock over all close enemies. They must use their action to stand up
Flangora,3,5,1,Small,Common,Bulky Stability: You can not be knocked over or moved by enemies,Energy Flamethrower: Deal 1/2/4/6/9 damage to all enemies close
Flicka,3,5,1,Small,Common,Scrap Pack Tactics: You roll 1 extra dice if the enemy is close to an ally,Sleek Flamethrower: Deal 1/2/4/6/9 damage to all enemies close
Planter,5,3,1,Small,Common,Bulky Stability: You can not be knocked over or moved by enemies,Scrap Hooves: Move to Far. Any enemies in the line that you moved take 1/2/4/6/9 damage
Shellcase,4,4,1,Small,Common,Bulky Shell: Curl into a ball. You can move but not act while in ball form. If you take any damage while in ball form you come out of ball form instead,Energy EMP: Deactivate one close enemy
Clocky,1,6,2,Medium,Common,"Primal Camoflague: If this stede doesn't move, it can't be attacked",Refined Boosters: Move one space
Scraptail,6,3,2,Medium,Common,"Bulky Camoflague: If this stede doesn't move, it can't be attacked",Energy Graspers: Throw something smaller than you to Near. It and anything you throw it at take 1/2/4/6/9 damage
Spikinya,4,4,2,Medium,Common,Energy Pack Tactics: You roll 1 extra dice if the enemy is close to an ally,"Scrap Quills: Pin one Far enemy to the floor, they have to use their action to get up."
Terrafowl,1,6,2,Medium,Common,"Energy Pounce: Move one, then deal 1/2/4/6/9 Harm and knock over one close enemy",Energy Bombs: Deal 1/1/2/4/6 damage to all enemies in one row
Bumblecanik,6,3,2,Medium,Common,Energy Pack Tactics: You roll 1 extra dice if the enemy is close to an ally,Scrap Stinger/Fangs: Poison one close enemy. They take 1/2/4/6/9 damage if they take an action
Wirlibird,8,2,2,Medium,Common,"Energy Reactive Core: When you take damage, gain 1 charge",Bulky Wings: Make an attack against a Near enemy as though it is close
Schkarven,2,5,2,Medium,Common,Energy Recycle: Heal one sync hex when you defeat an enemy,Energy Hammer: Deal 1/2/4/6/9 damage to a close enemy and push them to Near
Frogert,6,3,2,Medium,Common,Bulky Alpha: You or a near ally can reroll one die,"Energy Shield: Block an incoming attack, it does 2/4/6/9/12 less damage"
Crushdale,6,3,2,Medium,Common,"Bulky Trample: You can move into the same space an enemy, if you do, they take 1 harm.",Sleek Boosters: Move one space
Larch,5,3,3,Large,Common,"Bulky Trample: You can move into the same space an enemy, if you do, they take 1 harm.",Bulky Horn/s: Move to Close to an enemy and deal 1/2/4/6/9 damage
Buffalat,2,4,3,Large,Common,Bulky Recycle: Heal one sync hex when you defeat an enemy,Energy Boosters: Move one space
Scavent,1,5,3,Large,Common,Scrap Stability: You can not be knocked over or moved by enemies,Scrap Beak: Roll a d6. Deal 1/1/2/4/6 damage to that many Close enemies
Litongue,8,2,3,Large,Common,Energy Alpha: You or a near ally can reroll one die,Bulky Jaws: Grab on to one close enemy. They cannot move until you do
Shredent,1,5,3,Large,Common,Scrap Stability: You can not be knocked over or moved by enemies,Scrap Beak: Roll a d6. Deal 1/1/2/4/6 damage to that many Close enemies
Bullicade,2,3,4,Giant,Common,Bulky Recycle: Heal one sync hex when you defeat an enemy,"Energy Cannon: Target an enemy, it and all enemies close to it take 1/2/4/6/9 damage"
Grubtrap,10,3,2,Small,Uncommon,"Primal Feral: Every turn, deal 1/1/2/4/6 damage to a close autostede",Refined Plating: Take 1/2/4/6 less damage
Clockatoo,12,1,2,Small,Uncommon,Primal Recycle: Heal one sync hex when you defeat an enemy,Refined Wings: Make an attack against a Near enemy as though it is close
